parse_cleanup(): orig_line is , type is STRUCT, tos is , TOS.type is NONE, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is NONE, TOS.stage is 
parse_cleanup(): orig_line is , type is BRACE_OPEN, tos is , TOS.type is NONE, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_OPEN, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is QUALIFIER, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PTR_TYPE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is COMMA, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_CLOSE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is COLON, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_OPEN, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_CLOSE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is COMMA, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_OPEN, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_CLOSE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is BRACE_OPEN, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is BRACE_CLOSE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is INV, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_OPEN, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PAREN_CLOSE, tos is , TOS.type is PAREN_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is BRACE_OPEN, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is BRACE_CLOSE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is QUALIFIER, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is PTR_TYPE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is QUALIFIER, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is SEMICOLON, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is TYPE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is WORD, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is SEMICOLON, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is BRACE_CLOSE, tos is , TOS.type is BRACE_OPEN, TOS.stage is 
parse_cleanup(): orig_line is , type is SEMICOLON, tos is , TOS.type is NONE, TOS.stage is 
