set_chunk_type(): orig_line is , orig_col is , 'TelegramIndex' WORD:NONE => TYPE:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '*' STAR:NONE => PTR_TYPE:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '*' STAR:NONE => PTR_TYPE:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , 'TelegramIndex' WORD:NONE => FUNC_CLASS_DEF:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '(' PAREN_OPEN:NONE => FPAREN_OPEN:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , ')' PAREN_CLOSE:NONE => FPAREN_CLOSE:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , ':' COLON:NONE => CONSTR_COLON:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , 'pTelName' WORD:NONE => FUNC_CTOR_VAR:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '(' PAREN_OPEN:NONE => FPAREN_OPEN:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , ')' PAREN_CLOSE:NONE => FPAREN_CLOSE:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , 'nTelIndex' WORD:NONE => FUNC_CTOR_VAR:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '(' PAREN_OPEN:NONE => FPAREN_OPEN:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , ')' PAREN_CLOSE:NONE => FPAREN_CLOSE:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , 'TelegramIndex' WORD:NONE => FUNC_CLASS_DEF:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '~' INV:NONE => DESTRUCTOR:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , '(' PAREN_OPEN:NONE => FPAREN_OPEN:NONE [CallStack:-DEBUG NOT SET-]
set_chunk_type(): orig_line is , orig_col is , ')' PAREN_CLOSE:NONE => FPAREN_CLOSE:NONE [CallStack:-DEBUG NOT SET-]
